city,market_type,date,basket_index
Благоевград,retail,2023-03-03,100.0
Благоевград,retail,2023-03-10,99.76299227183938
Благоевград,retail,2023-03-17,99.66488097466367
Благоевград,retail,2023-03-24,99.51274751288683
Благоевград,retail,2023-03-31,99.0730962065235
Благоевград,retail,2023-04-07,99.17301938153261
Благоевград,retail,2023-04-14,99.27943636688448
Благоевград,retail,2023-04-21,99.4339600985816
Благоевград,retail,2023-04-28,100.01755674691967
Благоевград,retail,2023-05-05,101.1419636313031
Благоевград,retail,2023-05-12,101.46680387340707
Благоевград,retail,2023-05-19,101.25470821454006
Благоевград,retail,2023-05-26,101.32322358415772
Благоевград,retail,2023-06-02,101.90599753668101
Благоевград,retail,2023-06-09,102.70028979672199
Благоевград,retail,2023-06-16,102.48760124078927
Благоевград,retail,2023-06-23,102.09934248313238
Благоевград,retail,2023-06-30,102.01951606625926
Благоевград,retail,2023-07-07,101.71960765245775
Благоевград,retail,2023-07-14,101.94677539240978
Благоевград,retail,2023-07-21,101.70180851010241
Благоевград,retail,2023-07-28,101.53360658948446
Благоевград,retail,2023-08-04,101.18462053537316
Благоевград,retail,2023-08-11,101.07370263587038
Благоевград,retail,2023-08-18,100.54881579022454
Благоевград,retail,2023-08-25,100.0622437957482
Благоевград,retail,2023-09-01,100.18537654080872
Благоевград,retail,2023-09-08,100.08445981715826
Благоевград,retail,2023-09-15,100.1648639007082
Благоевград,retail,2023-09-22,100.16712399088627
Благоевград,retail,2023-09-29,99.704487043364
Благоевград,retail,2023-10-06,99.35796034774009
Благоевград,retail,2023-10-13,99.06657988263714
Благоевград,retail,2023-10-20,98.77357638521909
Благоевград,retail,2023-10-27,98.76298541369061
Благоевград,retail,2023-11-03,98.48429015205633
Благоевград,retail,2023-11-10,98.28737869861477
Благоевград,retail,2023-11-17,97.99325524996262
Благоевград,retail,2023-11-24,97.88713024924823
Благоевград,retail,2023-12-01,97.96210658707005
Благоевград,retail,2023-12-08,97.96480176884945
Благоевград,retail,2023-12-15,98.22609980777413
Благоевград,retail,2023-12-22,98.36750248254512
Благоевград,retail,2023-12-29,98.78438005059117
Благоевград,retail,2024-01-05,99.11874847819013
Благоевград,retail,2024-01-12,99.22358803640671
Благоевград,retail,2024-01-19,99.05784294963631
Благоевград,retail,2024-01-26,98.94949208657974
Благоевград,retail,2024-02-02,98.93290254974315
Благоевград,retail,2024-02-09,98.83863256853434
Благоевград,retail,2024-02-16,98.8717007741929
Благоевград,retail,2024-02-23,99.39915169007838
Благоевград,retail,2024-03-01,99.54291886477542
Благоевград,retail,2024-03-08,99.96439016806858
Благоевград,retail,2024-03-15,100.28513815722677
Благоевград,retail,2024-03-22,100.4283954188369
Благоевград,retail,2024-03-29,100.59852689012183
Благоевград,retail,2024-04-05,100.50092174929202
Благоевград,retail,2024-04-12,100.507216115676
Благоевград,retail,2024-04-19,100.36594190992413
Благоевград,retail,2024-04-26,100.34983527525213
Благоевград,retail,2024-05-03,100.35045872893967
Благоевград,retail,2024-05-10,100.48231394381123
Благоевград,retail,2024-05-17,100.58984781608325
Благоевград,retail,2024-05-24,100.56075949938395
Благоевград,retail,2024-05-31,100.18589962573674
Благоевград,retail,2024-06-07,100.28059541882777
Благоевград,retail,2024-06-14,99.9802744561583
Благоевград,retail,2024-06-21,99.59461314280037
Благоевград,retail,2024-06-28,99.62248877388978
Благоевград,retail,2024-07-05,99.89441895435263
Благоевград,retail,2024-07-12,99.95717491002696
Благоевград,retail,2024-07-19,99.86965911421083
Благоевград,retail,2024-07-26,99.27102587231734
Благоевград,retail,2024-08-02,98.65446045246141
Благоевград,retail,2024-08-09,98.8282323634497
Благоевград,retail,2024-08-16,99.36196398827204
Благоевград,retail,2024-08-23,100.07426704166579
Благоевград,retail,2024-08-30,100.07426704166579
Благоевград,retail,2024-09-06,101.76355715350249
Благоевград,retail,2024-09-13,101.76355715350249
Благоевград,retail,2024-09-20,101.76355715350249
Благоевград,retail,2024-09-27,101.76355715350249
Благоевград,retail,2024-10-04,101.89068419799636
Благоевград,retail,2024-10-11,101.89068419799636
Благоевград,retail,2024-10-18,101.89068419799636
Благоевград,retail,2024-10-25,101.89068419799636
Благоевград,retail,2024-11-01,
Благоевград,retail,2024-11-08,102.24842311630111
Благоевград,retail,2024-11-15,102.24842311630111
Благоевград,retail,2024-11-22,102.24842311630111
Благоевград,retail,2024-11-29,102.24842311630111
Благоевград,retail,2024-12-06,102.99209981315448
Благоевград,retail,2024-12-13,102.99209981315448
Благоевград,retail,2024-12-20,102.99209981315448
Благоевград,retail,2024-12-27,102.99209981315448
Благоевград,retail,2025-01-03,103.77348133983736
Благоевград,retail,2025-01-10,103.77348133983736
Благоевград,retail,2025-01-17,103.77348133983736
Благоевград,retail,2025-01-24,103.77348133983736
Благоевград,retail,2025-01-31,
Благоевград,retail,2025-02-07,105.38717118560729
Благоевград,retail,2025-02-14,105.38717118560729
Благоевград,retail,2025-02-21,105.38717118560729
Благоевград,retail,2025-02-28,105.38717118560729
Благоевград,retail,2025-03-07,106.28218786024686
Благоевград,retail,2025-03-14,106.28218786024686
Благоевград,retail,2025-03-21,106.28218786024686
Благоевград,retail,2025-03-28,106.28218786024686
Благоевград,retail,2025-04-04,108.04531632995975
Благоевград,retail,2025-04-11,108.04531632995975
Благоевград,retail,2025-04-18,108.04531632995975
Благоевград,retail,2025-04-25,108.04531632995975
Благоевград,retail,2025-05-02,
Благоевград,retail,2025-05-09,109.87243189982473
Благоевград,retail,2025-05-16,109.87243189982473
Благоевград,retail,2025-05-23,109.87243189982473
